IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
17,10.215.173.1,45464,74.125.193.138,443,10164,Google Play Store,com.android.vending,QUIC,Closed,play-fe.googleapis.com,7729,9826,19,18,2026-06-25T00:46:20.244+01:00,2026-06-25T00:46:20.639+01:00
6,10.215.173.1,53536,74.125.193.138,443,10164,Google Play Store,com.android.vending,HTTPS,Closed,play-fe.googleapis.com,2306,7100,10,8,2026-06-25T00:46:20.265+01:00,2026-06-25T00:46:51.640+01:00
6,10.215.173.1,37274,160.79.104.10,443,10313,Claude,com.anthropic.claude,HTTPS,Closed,a-api.anthropic.com,2142,1659,8,8,2026-06-25T00:46:22.989+01:00,2026-06-25T00:46:23.283+01:00
6,10.215.173.1,53726,160.79.104.10,443,10313,Claude,com.anthropic.claude,HTTPS,Closed,a-api.anthropic.com,2115,1659,8,8,2026-06-25T00:46:27.541+01:00,2026-06-25T00:46:27.794+01:00
6,10.215.173.1,53742,160.79.104.10,443,10313,Claude,com.anthropic.claude,HTTPS,Closed,a-api.anthropic.com,2465,1658,8,8,2026-06-25T00:46:34.283+01:00,2026-06-25T00:46:34.520+01:00
6,10.215.173.1,38650,160.79.104.10,443,10313,Claude,com.anthropic.claude,HTTPS,Closed,a-api.anthropic.com,2659,1659,8,8,2026-06-25T00:46:42.076+01:00,2026-06-25T00:46:42.308+01:00
6,10.215.173.1,60530,44.232.164.14,443,10313,Claude,com.anthropic.claude,HTTPS,Closed,api.segment.io,3899,5297,12,12,2026-06-25T00:46:48.593+01:00,2026-06-25T00:46:49.350+01:00
17,10.215.173.1,16321,10.215.173.2,53,10313,Claude,com.anthropic.claude,DNS,Closed,a-api.anthropic.com,65,81,1,1,2026-06-25T00:46:57.561+01:00,2026-06-25T00:46:57.579+01:00
6,10.215.173.1,45656,160.79.104.10,443,10313,Claude,com.anthropic.claude,HTTPS,Closed,a-api.anthropic.com,1998,1699,8,9,2026-06-25T00:46:57.587+01:00,2026-06-25T00:46:57.852+01:00
6,10.215.173.1,35366,20.33.33.16,5222,10213,Xiaomi service framework,com.xiaomi.xmsf,TCP,Closed,,1189,420,10,6,2026-06-25T00:47:09.696+01:00,2026-06-25T00:48:14.746+01:00
